PROGRESSIVO DOMANDA,CARTA,SETTORE,TESTO,RISPOSTA,ARGOMENTO,DIFFICOLTA
5.1.2 - 5,5/D,A,"Partenza da Punta di Fetovaia (Sud Ovest isola d’Elba) con una prora vera Pv = 105° e una velocità propulsiva Vp = 6 kn. Si vuole verificare l’assenza di fattori esterni perturbatori al fine di determinare il nostro punto nave, eseguendo quindi due rilevamenti polari a sinistra con isola Corbelli: ρ =– 045° eseguito alle ore 10h00m ρ = – 090° eseguito alle ore 10h16mDal punto nave A così calcolato si vuole raggiungere Punta dei Ripalti. Determinare la quantità di carburante, compresa la riserva, per giungere a Punta dei Ripalti, sapendo di avere un motore che consuma 12 l/h. ",Carburante 30 ÷ 32 litri,carburante,*
5.1.3 - 1,5/D,A,"In navigazione ad Ovest dell’Isola d’Elba con prora bussola Pb = 350° (declinazione d = 1°E, deviazione δ = 0°), con una velocità propulsiva Vp = 9 kn, rileviamo il faro di Punta Polveraia: alle ore 12h00m Rilb = 075°; alle ore 12h20m Rilb = 125°. Determinare il punto nave delle ore 12h20m. ","Lat. 42°49’,7 N ÷ 42°50’,3 N Long. 010°02’,0 E ÷ 010° 02’,6 E",navigazione costiera,*
5.1.3 - 2,5/D,A,"Stiamo navigando a Nord dell’Isola d’Elba con una prora bussola Pb = 086° (declinazione d =2°W, deviazione δ = – 2°) con velocità propulsiva Vp = 5 kn. Alle ore 17h00m rileviamo il faro di Scoglietto per rilevamento bussola Rilb = 164° e dopo 18 minuti di navigazione per il rilevamento bussola Rilb = 194°. Determinare le coordinate del punto nave delle ore 17h18m. ","Lat. 42°52’,2 N ÷ 42°52’,8 N Long 010°20’,3 E ÷ 010° 20’,9 E",navigazione costiera,*
5.1.3 - 3,5/D,A,Stiamo navigando a Sud dell’isola d’Elba con prora bussola Pb = 104° (variazione magnetica V = 4°W) e velocità propulsiva Vp = 6 kn. Si osserva un faro sulla costa che emette un lampo di luce ogni 5 secondi e lo si rileva per i seguenti rilevamenti bussola: alle ore 01h50m per Rilb = 046°alle ore 02h20m per Rilb = 009°alle ore 03h05m per Rilb = 321°Determinare le coordinate del punto nave alle ore 03h05m. ,"Lat.42°38’,7 N ÷ 42°39’,3 N Long. 010°19’,8 ÷ 010°20’,4 E",navigazione costiera,*
5.1.3 - 4,5/D,A,"Stiamo navigando a Ovest dell’Isola d’Elba con prora vera Pv = 355° (variazione magnetica Vm = – 5°) e velocità propulsiva Vp = 6 kn. Alle ore 10h00m si rileva Punta Nera (Ovest Isola d’Elba) per rilevamento bussola Rilb = 045°, alle ore 10h30m si rileva la stessa punta per rilevamento bussola Rilb = 100°. Determinare le coordinate del punto nave alle ore . 10h30m. ","Lat 42°45’,9 N ÷ 42°46’,5 N Long 010°02’,4 E ÷ 010°03’,0 E",navigazione costiera,*
5.1.3 - 5,5/D,A,"Partenza dal punto A di coordinate geografiche GPS Lat. 42°40’ N e Long. 010°00’ E con rotta vera Rv = 350° (variazione magnetica V = 2°W) e una velocità propulsiva Vp = 12,4 kn. Alle ore 13h45m si esegue il rilevamento bussola Rilb = 052° del faro di Punta Polveraia (Ovest Isola d’Elba); alle ore 14h00m si esegue il rilevamento bussola Rilb = 083° dello stesso faro. Determinare le coordinate del punto nave delle ore 14h00m. ","Lat. 42°46’,6 N ÷ 42°47’,2 N Long. 009°59’,3 E ÷ 010°00’,0 E",navigazione costiera,*
5.1.3 - 6,5/D,A,"Alle ore 09h 15m l’imbarcazione “Vega” si trova nella posizione individuata dalle seguenti coordinate geografiche GPS: Lat. 42° 45’,0 N - Long. 010° 01’,7 E (punto A) e sta navigando con una velocità effettiva Ve = 6 kn. Alla medesima ora riceve una richiesta di assistenza dall’imbarcazione “Serenity” per avaria. Tale imbarcazione, che sta navigando con rotta vera Rv = 240° con velocità effettiva Ve = 4 kn, comunica la propria posizione, individuata dalle seguenti coordinate geografiche Lat. 42° 55’ N - Long. 010° 12’ E (punto B). L’imbarcazione “Vega” decide , quindi, di raggiungere l’unità in difficoltà per prestare assistenza senza variare la velocità. Determinare le coordinate geografiche del punto D di intercettazione. ","Lat. 42° 52’,5 N ÷ 42°53’,1 N - Long. 010° 05’,7 E ÷ 010° 06’,3 E",navigazione costiera,*
5.1.4 - 1,5/D,A,Partenza alle ore 10h00m da Capo Sant’Andrea con una rotta per raggiungere alle ore 12h30m Capo della Vita. Nella zona è presente un vento di Maestrale che crea uno scarroccio di 10°. Determinare l’Ora del traverso con fanale Scoglietto. ,Ora traverso 11h33m ÷11h39m,scarroccio,*
5.1.4 - 2,5/D,A,"Dal punto nave A delle seguenti coordinate geografiche GPS: Lat. 42° 53’,4 N e Long. 010° 06’,6 E delle ore 07h20m, si vuole seguire una rotta vera Rv = 090° in presenza di un vento di Grecale che provoca uno scarroccio Sc +10° e una velocità effettiva Ve = 6 kn. Determinare l’ora in cui rileviamo Torre Isola Cerboli al nostro traverso. ",Ora traverso 10h27m ÷ 10h33m,scarroccio,*
5.1.4 - 3,5/D,A,"Dal punto nave A delle seguenti coordinate geografiche GPS: Lat 42° 41',5 N Long 010° 11',3 E si procede con prora vera Pv = 085°, considerando che in zona insiste un vento di Tramontana che crea uno scarroccio di 8 °. Determinare le coordinate del punto B nel quale si rileva Punta dei Ripalti (zona Sud Est Isola d’Elba) al traverso. ","Lat. 42° 39’,7 N ÷ 42°41’,3 N Long. 010° 25',2 E ÷ 010°25’,8 E",scarroccio,*
5.1.4 - 4,5/D,A,"Siamo a Sud dell’Isola d’Elba e ci troviamo sul punto nave A delle seguenti coordinate geografiche GPS: Lat. 42° 39’,6 N Long. 010° 17’,4 E. Navighiamo con prora vera Pv = 290° e siamo in presenza di un vento di Libeccio che provoca uno scarroccio di 5°. Determinare le coordinate del punto B posto al traverso di Punta le Tombe. ","Lat. 42° 42’,6 N ÷ 42°43’,2 N Long. 010° 07’,5 E ÷ 010°08’,1 E",scarroccio,*
5.1.4 - 5,5/D,A,Partenza alle ore 10h00m da Isola Cerboli con una prora vera Pv = 190° e una velocità effettiva Ve = 6 kn. Nella zona è presente un vento di Maestrale che crea uno scarroccio di 10°. Determinare l’ora del traverso con Punta dei Ripalti. ,Ora traverso 11h37m ÷ 11h43m,scarroccio,*
5.2.1 - 1,5/D,B,"L’imbarcazione “Ester” alle ore 09h00m parte da Scoglio dello Sparviero con prora bussola Pb =163° (variazione magnetica – 3°) e una velocità propria Vp = 6 kn. Considerato che in zona è presente una corrente di direzione Dc = Nord Ovest e velocità Vc = 2 kn, determinare le coordinate del punto nave B alle ore 11h 00m. ","Lat. 42°39’,1 N ÷ 42°39’,7 N Long.010°44’,2 E ÷ 010°44’,8 E",correnti,*
5.2.1 - 2,5/D,B,"L’unità “Kochab” alle ore 10: 00 si trova sul punto A di coordinate geografiche GPS: Lat. 42°40’ N – Long 010°40’ Ediretta verso il porto turistico di Castiglione della Pescaia (fanali) con una velocità propria Vp = 6 kn. Considerato che in zona è presente una corrente di direzione Dc = 059° e velocità Vc =2 kn, determinare l’ora di arrivo. ",Ora arrivo 11h19m ÷ 11h24m,correnti,*
5.2.1 - 3,5/D,B,"Il M/Y “Nubian” si trova sul punto A di coordinate geografiche GPS: Lat. 42°44’,9 N - Long. 010°40’Ediretta verso la torretta Carbonifera di Follonica, si pianifica la navigazione per arrivare a destinazione in 2 ore. Considerando che in zona è presente una corrente di direzione Dc = 220° e velocità Vc = 1,5 kn, indicare la prora bussola Pb da tenere. (declinazione 2°E, deviazione. 3°W)",Pb = 008° ÷ 014°,correnti,*
5.2.1 - 4,5/D,B,L’imbarcazione “Cassiopea” alle ore 11h00 si trova nel punto A situato 4 miglia nautiche a Sud Ovest del serbatoio di Marina di Grosseto. Considerato che in zona è presente una corrente di direzione Dc = Est e velocità Vc = 2 kn; abbiamo pianificato di seguire una rotta vera Rv = 302° e di impostare una velocità propulsiva Vp = 8 kn. Calcolare l’ora in cui rileveremo al traverso lo Scoglio dello Sparviero. ,Ora del traverso 12h50m ÷ 12h57m,correnti,*
5.2.1 - 5,5/D,B,"L’imbarcazione “Venus” si trova alle ore 10h00 nel punto A di coordinate geografiche GPS: Lat. 42°50’ N - Long 010°38’,5 E procede con una prora vera Pv = 141° e una velocità propulsiva Vp = 6 kn. A seguito di un controllo della posizione, alle ore 11h30m si determina il punto nave B eseguendo simultaneamente due rilevamenti veri: fanali di Castiglione della Pescaia Rlv = 080°Punta Ala Rlv = 330°. Determinare il valore della direzione della corrente Dc. ",Dc = 359° ÷ 005°,correnti,*
5.2.2 - 1,5/D,B,"Partenza da Castiglione della Pescaia con una prora bussola Pb = 271° (variazione magnetica V = 1° W) e una velocità propulsiva Vp = 6 nodi. Si vuole calcolare il punto nave A eseguendo due rilevamenti polari a dritta con Scoglio dello Sparviero: ρ = +045° eseguito alle ore 09h00m ρ =+090° eseguito alle ore 09h22mGiunti al traverso di Scoglio dello Sparviero decidiamo di dirigere verso il punto B di coordinate geografiche GPS Lat. 42°50’N e Long. 010°37’E. Determinare la quantità di carburante necessario alla navigazione, compresa la riserva, sapendo che il nostro motore consuma 10 l/h. ",Carburante 28 ÷ 30 litri,carburante,*
5.2.2 - 2,5/D,B,"Siamo in uscita dal porto di Castiglione della Pescaia e navighiamo con rotta vera Rv = 270° e una velocità propulsiva Vp = 4,4 kn. Alle ore 13h00m rileviamo con rilevamento polare a dritta ρ = +045° la Torre Scoglio dello Sparviero e alle ore 13h30m rileviamo lo stesso punto al traverso. Da tale punto nave, dirigiamo per il punto di coordinate geografiche GPS: Lat. 42°40’N e Long. 010°50’E. Determinare la quantità di carburante necessaria, dalla partenza alla destinazione, considerando un consumo medio di 3,5 l/h e una riserva del 30%. ","Carburante 14,5 ÷ 16,5 litri",carburante,*
5.2.2 - 3,5/D,B,"Partenza dal fanale torretta Carbonifera (Golfo di Follonica) con una rotta vera Rv = 180° e una velocità propulsiva Vp = 6 kn. Durante la navigazione si vuole controllare il punto nave A eseguendo con faro di Punta Ala due rilevamenti polari a sinistra: ρ = -045° eseguito alle ore 08h00m ρ =-090° eseguito alle ore 08h22mGiunti al traverso, si decide di raggiungere il punto B di coordinate geografiche GPS: Lat. 42°40’N e Long. 010°40’E. Determinare il carburante necessario alla navigazione comprensivo della riserva sapendo che il motore ha un consumo orario di 15l/h. ",Carburante 54 ÷ 57 litri,carburante,*
5.2.2 - 4,5/D,B,"Partenza dal punto A di coordinate geografiche GPS: Lat. 42°40’N e Long 010°55’E per raggiungere il punto B di coordinate geografiche GPS: Lat. 42°50’ N Long. 010°37’E con una velocità propulsiva Vp = 6 kn. Si vuole verificare l’assenza di fattori esterni eseguendo due rilevamenti polari a dritta di Scoglio dello Sparviero: ρ = +045° eseguito alle ore 10h00m ρ = +090° eseguito alle ore 10h08mDeterminare la quantità di carburante necessaria, inclusa la riserva, per svolgere l’intera navigazione sapendo che il motore ha un consumo orario di 10 l/h. ",Carburante 35 ÷ 37 litri,carburante,*
5.2.2 - 5,5/D,B,"Partenza dal punto A di coordinate geografiche GPS: Lat. 42°38’,8 N Long. 010°58’,5 E con una prora bussola Pb = 305° (variazione magnetica V = 3° W). Si determina il punto nave B eseguendo con Scoglio dello Sparviero due rilevamenti polari a dritta: ρ = +045° eseguito alle ore 11h00m ρ = +090° eseguito alle ore 11h17mDeterminare la quantità di carburante necessaria, compresa la riserva, per giungere al traverso di Scoglio dello Sparviero tenendo conto di un consumo del motore pari a 5 l/h. ",Carburante 17 ÷ 19 litri,carburante,*
5.2.3 - 1,5/D,B,"Stiamo navigando a Sud di Castiglione della Pescaia con una prora bussola Pb = 281° (declinazione d = 3°E, deviazione δ= -4°) e velocità propulsiva Vp = 12 kn. Vogliamo verificare il punto nave costiero eseguendo alle ore 11h00m il rilevamento bussola Rilb = 046° dei fanali di Castiglione della Pescaia e dopo 30 minuti un rilevamento bussola Rilb = 351° dello Scoglio Sparviero. Determinare le coordinate del punto nave delle ore 11h30m. ","Lat. 42°45’,4 N ÷ 42°46’,0 N Long. 010°43’,0 E ÷ 010°43’,6 E",navigazione costiera,*
5.2.3 - 2,5/D,B,"Stiamo navigando a Sud di Punta Ala con partenza dal punto A di coordinate geografiche GPS: Lat. 42°40’ N e Long. 010°50’ E con una prora vera Pv = 315° e velocità propulsiva Vp = 6 kn (declinazione d= 2°W, deviazione δ = -2°). Si rileva il faro di Punta Ala alle ore 10h00m per rilevamento bussola Rilb = 034° e dopo mezz’ora di navigazione sempre lo stesso faro per rilevamento bussola Rilb = 074°. Determinare le coordinate del punto nave delle ore 10h30m. ","Lat. 42°46’,4 N ÷ 42° 47’,0 N Long. 010°37’,9 E ÷ 010° 38’,5 E",navigazione costiera,*
5.2.3 - 3,5/D,B,Partenza da Castiglione della Pescaia con una prora bussola Pb = 271° (variazione magnetica V = 1° W) e velocità propulsiva Vp = 6 kn. Alle ore 15h00m si esegue un rilevamento bussola Rilb = 351° con Passo Peroni e alle ore 15h34m con Scoglio Sparviero un rilevamento bussola Rilb = 021°. Determinare le coordinate del punto nave delle ore 15h34m. ,"Lat. 42°46’,5 N ÷ 42°47’,1N Long. 010°41’,9 E ÷ 010°42’,5 E",navigazione costiera,*
5.2.3 - 4,5/D,B,Il giorno 5 Gennaio 2021 siamo in navigazione nel golfo di Follonica con prora bussola Pb = 197° (deviazione δ = 1° E) e velocità propulsiva Vp = 9 kn. Il valore della declinazione magnetica anno 2016: d = 1° 30' E variazione annua 6’ E. Alle ore 09h00m si rileva Punta Martina per rilevamento bussola Rilb = 097°; alle ore 09h10m si rileva il faro di Punta Ala per rilevamento bussola Rilb = 147°. Determinare le coordinate del punto nave delle ore 09h10m. ,"Lat. 42°50’,2 N ÷ 42°50’,8 N Long. 010°41’,9 E ÷ 010°42’,5 E",navigazione costiera,*
5.2.3 - 5,5/D,B,Partenza da Scoglio dello Sparviero con una rotta vera Rv = 130° e una velocità propria Vp = 6 kn. Si vuole determinare il punto nave A eseguendo alle ore 10h00m con i fanali di Castiglione della Pescaia un rilevamento vero Rilv = 041° e alle ore 10h20m con Serbatoio Marina di Grosseto un rilevamento vero Rilv = 080°. Determinare le coordinate del punto nave delle ore 10h20m. ,"Lat. 42°41’,8 N ÷ 42°42’,4 N Long. 010°51’,8 E ÷ 010°52’,4 E",navigazione costiera,*
5.2.4 - 1,5/D,B,"Stiamo navigando nel golfo di Follonica con una rotta vera Rv = 025°. Consapevoli che in zona è presente un vento di Maestrale che crea uno scarroccio di 5°, alle ore 10h00m ci troviamo nel punto A da dove rileviamo Punta Francese con rilevamento polare ρ = 035° e contemporaneamente il faro di Punta Ala con rilevamento polare ρ = 077°. Determinare il valore del punto nave costiero B delle ore 10h00m. ","Lat. 42°48’,4 N ÷ 42°48’,8 N Long. 010°39’,2 E ÷ 010°39’,6 E",scarroccio,*
5.2.4 - 2,5/D,B,"Partenza da Scoglio dello Sparviero con una rotta vera Rv = 140°. considerando che in zona insiste un vento di Libeccio che provoca uno scarroccio di 10°, determinare le coordinate geografiche del punto A che si trova al traverso del Serbatoio di Marina di Grosseto. ","Lat. 42°39’,7 N ÷ 42°40,1’ N Long. 010°51’,6 E ÷ 010°52,0’ E",scarroccio,*
5.2.4 - 3,5/D,B,"Partenza dal punto nave A delle seguenti coordinate geografiche GPS: Lat. 42°40’ N e Long. 010°50’ E con una rotta vera Rv = 320°. considerando che in zona è presente un vento di Grecale che crea uno scarroccio di 10°, determinare le coordinate del punto B al traverso dei fanali di Castiglione della Pescaia. ","Lat. 42°42’,8 N ÷ 42°43’,2 N Long. 010°46’,3 E ÷ 010°46’,7 E",scarroccio,*
5.2.4 - 4,5/D,B,Alle ore 10h00m ci troviamo sul punto A che si trova sul rilevamento vero Rilv = 320° del fanale rosso del porto di Castiglione della Pescaia alla distanza di 1 miglio nautico. Stiamo navigando con prora vera Pv = 253° e velocità propulsiva Vp = 5 kn. In zona è presente un vento di Libeccio che provoca uno scarroccio di 7° e una variazione di velocità di - 1 nodo. Determinare la posizione del punto nave B alle ore 12h00m tenendo conto dell’effetto del vento. ,"Lat. 42°43’,2 N ÷ 42°43’,6 N Long. 010°42’,6 E ÷ 010°43’,0 E",scarroccio,*
5.2.4 - 5,5/D,B,"Siamo in navigazione nella zona di Castiglione della Pescaia e alle ore 12h10m ci troviamo nel punto A di coordinate geografiche GPS Lat. 42° 41’,7 N e Long. 010° 51’,5 E. Da tale posizione si decide di raggiungere il punto B posto 1 miglio nautico a Sud della Torre di Scoglio dello Sparviero, navigando con velocità propulsiva Vp = 7 nodi. Sapendo che in zona insiste un vento di Ponente che provoca uno scarroccio di 5° e una variazione di velocità di - 1 nodo, determinare il valore della prora vera da mantenere. ",Pv = 302°÷ 304°,scarroccio,*
5.3.1 - 1,5/D,C,"Il M/Y “Nubian”, in navigazione a sud dell’isola di Pianosa, alle ore 12h42m si trova sul punto A dal quale osserva il Fumaiolo di Punta Brigantina per rilevamento vero Rilv = 022° e la Torre di Cala della Ruta per rilevamento vero Rilv = 323°. Da questa posizione il M/Y procede per rotta vera Rv = 202° e velocità propulsiva Vp = 16 kn. Alle ore 13h12m l’apparato GPS fornisce le seguenti coordinate geografiche del punto B: Lat. 42° 24’,1 N - Long. 010° 00’,0 E. Posto che in zona sono presenti elementi perturbatori del moto, determinare la velocità della corrente Vc. ","Vc = 2,9 ÷ 3,5 kn",correnti,*
5.3.1 - 2,5/D,C,"Nel 2008, l’imbarcazione “Cassiopea”, naviga con rotta vera Rv = 307°. Alle ore 16h10m, osserva il Faro dello Scoglio Africa (Lam. 5s19m12M) per rilevamento vero Rilv = SW ad una distanza di 3 miglia nautiche (punto A). Dal punto A decide di accostare a dritta per dirigere in direzione del Fumaiolo di Punta Brigantina (Isola Pianosa), impostando una velocità propria Vp = 6 kn. A seguito di un controllo della posizione, alle ore 17h00m si determina il punto nave B situato sul rilevamento vero Rilv = 339° del Fumaiolo di P.ta Brigantina ad una distanza di 4,5 miglia. Posto, quindi, che dal punto A sono cambiati gli elementi perturbatori del moto, determinare la direzione della corrente Dc. ",Dc = 039° ÷ 045°,correnti,*
5.3.1 - 3,5/D,C,"L’imbarcazione “Sa Manna” alle ore 23h40m si trova in navigazione sul punto A (rilevamento vero Rilv = 310° del Faro Scoglio Africa (Lam. 5s19m12M) - distanza 3,3 miglia nautiche) e procede con prora vera Pv = 356° e con velocità propulsiva Vp = 7 kn. Alle ore 01h22m, al fine di verificare gli elementi del moto, l’imbarcazione determina al GPS la sua posizione geografica (punto B): Lat. 42° 32’,9 N - Long. 010° 06’,0 EPosto che sono, pertanto, variati gli elementi perturbatori del moto, determinare la direzione della corrente Dc. ",Dc = 353° ÷ 359°,correnti,*
5.3.1 - 4,5/D,C,"Nel 2008 l’imbarcazione “Merak” è in navigazione nei pressi dell’Isola di Montecristo. Alle ore 00h20m l’unità determina la propria posizione osservando il Faro di Scoglio Africa (Lam. 5s19m12M) per rilevamento vero Rilv = 238° ad una distanza di 3 miglia nautiche (punto A). Dal punto A, l’imbarcazione procede con prora vera Pv = 035° e con una velocità propulsiva Vp = 3,5 kn. Alle ore 02h30m, al fine di verificare gli elementi del moto presenti in zona, l’unità determina la posizione individuata dalle seguenti coordinate geografiche GPS: Lat. 42à31’,5 N – Long. 010°15’,3 E (punto B)Posto che sono, pertanto, variati gli elementi perturbatori del moto, determinare la velocità della corrente Vc. ","Vc = 1 ÷ 1,6 kn",correnti,*
5.3.1 - 5,5/D,C,"L’imbarcazione “Sanvito” si trova sul punto A di coordinate geografiche GPS: Lat. 42° 30’ N - Long. 010° 18’,5 E. Si naviga per raggiungere in 30 minuti il punto B di coordinate Lat. 42° 34’,2 N e Long. 010° 25’ E. Considerando che in zona è presente una corrente con direzione corrente Dc Nord e velocità Vc 4 kn, calcolare la velocità propulsiva Vp necessaria per detta navigazione. ","Vp = 10,3 ÷ 10,9 kn",correnti,*
5.3.1 - 6,5/D,C,"L’imbarcazione “Nuraghe” si trova sul punto A di coordinate geografiche GPS: Lat. 42°33’,4 N - Long. 010° 12’,8 E. Si naviga con rotta vera Rv = 253° e velocità effettiva Ve = 5 kn. Considerando che in zona insiste una corrente con direzione corrente Dc = 190° e velocità Vc = 1 kn, calcolare la velocità propulsiva Vp. ","Vp = 4,3 ÷ 4,9 kn",correnti,*
5.3.1 - 7,5/D,C,"Il M/Y “Tempest” si trova alle ore 10h00m sul punto A di coordinate geografiche GPS: Lat. 42°25’ N - Long. 010° 14’,6 E. Siamo in navigazione con prora vera Pv = 055° e veolocità propulsiva Vp = 6 kn. Considerando che in zona è presente una corrente direzione corrente Dc = Nord e velocità Vc = 1. 5 kn, determinare la rotta vera Rv. ",Rv = 043° ÷ 049°,correnti,*
5.3.1 - 8,5/D,C,L’unità “Mars” alle ore 09h00m si trova sul punto A di coordinate geografiche GPS: Lat. 42°30’ N e Long. 010°20’E. Si naviga con prova vera Pv = 263° e una velocità propulsiva Vp = 6 kn. Alle ore 10h40m si determina il punto nave B eseguendo simultaneamente due rilevamenti veri: faro di Pianosa Rlv = 345°faro Scoglio Africa Rlv =210°. Determinare il valore della velocità corrente Vc. ,"Vc = 0,9 ÷1,5 kn",correnti,*
5.3.1 - 9,5/D,C,"L’imbarcazione “Sa Manna” parte da Scoglio Africa e naviga con prora vera Pv = 014° e velocità propulsiva Vp = 11 kn. Considerando che in zona è presente una corrente direzione corrente Dc = 140° e velocità Vc = 2 kn, determinare il valore della velocità effettiva Ve. ","Ve = 9,5 ÷ 10,1 kn",correnti,*
